FECHA,FOLIO,PROVEEDOR,LITROS
4/1/26,2920,NICOLAS VALENCIA MANZO,37000
4/2/26,2921,NICOLAS VALENCIA MANZO,37000
4/2/26,2922,NICOLAS VALENCIA MANZO,37000
4/6/26,2923,NICOLAS VALENCIA MANZO,37000
4/7/26,2924,NICOLAS VALENCIA MANZO,37000
4/7/26,2925,NICOLAS VALENCIA MANZO,37000
4/9/26,2926,NICOLAS VALENCIA MANZO,37000
4/9/26,2927,NICOLAS VALENCIA MANZO,37000
4/10/26,2928,NICOLAS VALENCIA MANZO,37000
4/14/26,2929,NICOLAS VALENCIA MANZO,37000
4/21/26,2930,NICOLAS VALENCIA MANZO,15000
4/21/26,2931,NICOLAS VALENCIA MANZO,15000
4/21/26,2932,NICOLAS VALENCIA MANZO,15000
4/21/26,2933,NICOLAS VALENCIA MANZO,15000
4/22/26,2934,NICOLAS VALENCIA MANZO,15000
4/22/26,2935,NICOLAS VALENCIA MANZO,15000
4/22/26,2936,NICOLAS VALENCIA MANZO,15000
4/23/26,2937,NICOLAS VALENCIA MANZO,15000
4/23/26,2938,NICOLAS VALENCIA MANZO,15000
4/23/26,2939,NICOLAS VALENCIA MANZO,15000
4/24/26,2940,NICOLAS VALENCIA MANZO,15000
4/25/26,2941,NICOLAS VALENCIA MANZO,15000
4/25/26,2942,NICOLAS VALENCIA MANZO,15000
4/25/26,2943,NICOLAS VALENCIA MANZO,15000
4/25/26,2944,NICOLAS VALENCIA MANZO,15000
4/27/26,2945,NICOLAS VALENCIA MANZO,15000
4/27/26,2946,NICOLAS VALENCIA MANZO,15000
4/28/26,2947,NICOLAS VALENCIA MANZO,15000
4/28/26,2948,NICOLAS VALENCIA MANZO,15000