Código del producto,Nombre del producto
01CECPC40R,CEMENTO GRIS A GRANEL CPC40
02GB10,GRAVA BASALTO  3/8
02GB20,GRAVA BASALTO 3/4
02GB40,GRAVA BASALTO 1  1/2
02KRYSTOL,KRYSTOL  KIM HS/25 KGS
03AB01,ARENA BLANCA
03AB01YM,ARENA BLANCA YM
03ALTI,ARENA LAVADA
03ASTI,ARENA SECA
03AT05,ARENA TRITURADA 5
03AV01,ARENA VOLCANICA
04AGUA,AGUA POZO NAPOLES
04AGUAJ,AGUA POZO JUAREZ
05AD280,ADITIVOS 280
05AD510,MAPEPLAST 510 MX
05AD800,ADITIVO MAPEPLAST 800- MX
05ADA28,VITAX A28
05ADA52,ADITIVO FOAMX A52
05ADA55,ADIVITO XELX A55
05ADA92,ADITIVOS FLOWX A92
05ADD18,FLUIDX D18
05ADIMPER,IMPERMEABILIZANTE
05ADM12,ADITIVO FLUIDX M12
05ADMEP,ADITIVO MAPETARD
05ADPF,ADITIVO POLYFOAMER AE2
05ADR22,ADITIVO FLUIDX R22
05ADSR351,ADITIVO SR351
05DYNAMOND,ADITIVO DYNAMOND
06FP01,FIBRA DE POLIPROPILENO
06FS01,FIBRA SINTETICA
06MF01,MACRO FIBRA
07DS01,DIESEL
07UR01,UREA
08SIKA,SKLITE SIKA SACO DE 20 KG
PENETRON,PENETRON ADMIX SACO 18 KG