Planta,Número de remisión,Clasificación,Fecha muestreo,Hora de Muestreo,Cantidad de Muestras,TIPO DE MUESTRA 1,TIPO DE MUESTRA 2,TIPO DE MUESTRA 3,TIPO DE MUESTRA 4,Revenimiento/Extensibilidad de Muestreo,Masa Unitaria,Temperatura ambiente,Temperatura del concreto,EDAD 1,EDAD 2,EDAD 3,EDAD 4,CARGA 1 (KG),CARGA 2 (KG),CARGA 3 (KG),CARGA 4 (KG)
Planta 2,7880,F'c,45845,0.527777778,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,23,2327.21,24,31,7,14,28,28,43910,46580,,
Planta 2,7881,F'c,45845,0.5,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,23,2275,34,31,14,28,28,,46580,66515,66717,
Planta 2,7942,F'c,45847,0.040972222,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 10 X 10,CUBO 10 X 10,24,2324,25,30,7,14,28,28,77800,48700,48750,49378
Planta 2,7958,F'c,45847,0.89375,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,23,2294,26,30,7,14,28,28,58830,49900,63117,64115
Planta 2,7969,F'c,45848,0.116666667,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2302,27,29,3,3,,,43500,43500,,
Planta 2,7979,F'c,45848,0.272916667,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,29,2316,27,29,3,3,,,40710,43500,,
Planta 2,8005,F'c,45849,0.653472222,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 10 X 10,CUBO 10 X 10,24,2330,27,30,7,14,28,28,80100,98150,99151,62112
Planta 2,8010,F'c,45849,0.817361111,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,72,2300,24,31,1,1,3,3,64760,64760,68610,
Planta 2,8013,F'c,45849,0.939583333,4,CUBO 10 X 10,CUBO 15 X 15,CUBO 10 X 10,CUBO 15 X 15,21,2318,22,29,1,1,3,3,33100,68600,41210,90000
Planta 2,8036,F'c,45851,0.05,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2298,26,26,28,28,,,69990,69990,,
Planta 2,8094,F'c,45853,0.416666667,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,25,2330,31,30,28,28,,,102133,102133,,
Planta 2,8103,F'c,45853,0.503472222,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,CUBO 15 X 15,25,2324,25,25,28,28,,,94507,94507,,
Planta 2,8115,F'c,45853,0.607638889,4,CUBO 10 X 10,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,25,2342,29,31,28,28,,,119943,119943,,
Planta 2,8124,F'c,45853,0.781944444,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2368,29,31,28,28,,,45424,458733,,
Planta 2,8163,F'c,45855,0.879166667,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2326,29,31,28,28,,,29940,48628,,
Planta 2,8134,MR,45853,0.365972222,4,VIGA,VIGA,VIGA,CUBO 10 X 10,16,2362,27,32,28,28,,,2300,3328,,
Planta 2,8171,F'c,45856,0.405555556,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2356,26,29,28,28,,,62019,67698,,
Planta 2,8179,MR,45857,0.5625,4,VIGA,VIGA,VIGA,VIGA,15,2362,26,29,28,,,,2186,,,
Planta 2,8200,F'c,45857,0.5625,4,CUBO 10 X 10,CILINDRO 10,CUBO 10 X 10,CUBO 10 X 10,21,2344,22,28,28,28,,,27783,34552,,
Planta 2,8234,MR,45860,0.314583333,4,VIGA,VIGA,VIGA,VIGA,14,2372,19,29,28,,,,2425,,,
Planta 2,8263,F'c,45861,0.053472222,4,CUBO 10 X 10,CUBO 15 X 15,CUBO 10 X 10,CUBO 10 X 10,24,2336,20,28,28,,,,36591,,,
Planta 2,8295,F'c,45861,0.666666667,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,60,2322,20,31,28,,,,50273,,,
Planta 2,8308,F'c,45861,0.803472222,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2348,20,29,28,28,,,63146,74928,,
Planta 2,8318,F'c,45861,0.925,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,20,2330,18,26,3,3,,,99442,102340,,
Planta 2,8263,F'c,45861,0.054861111,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,24,2337,20,28,28,28,,,33516,38871,,
Planta 2,8295,F'c,45861,0.666666667,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,60,2323,20,31,28,28,,,45776,50273,,
Planta 2,8308,F'c,45861,0.803472222,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2349,20,29,28,,,,74928,,,
Planta 2,8345,MR,45862,0.454166667,4,VIGA,VIGA,VIGA,VIGA,14,2373,24,28,28,,,,2514,,,
Planta 2,8366,MR,45863,0.374305556,4,VIGA,VIGA,VIGA,VIGA,13,2375,23,28,28,,,,2865,,,
Planta 2,8416,MR,45864,0.384722222,4,VIGA,VIGA,VIGA,VIGA,14,2355,24,27,28,,,,2985,,,
Planta 2,8418,MR,45864,0.411111111,4,VIGA,VIGA,VIGA,VIGA,14,2359,25,29,28,,,,2985,,,
Planta 2,8470,F'c,45866,0.743055556,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2347,26,28,1,1,,,80985,80985,,
Planta 2,8488,F'c,45867,0.554861111,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,25,2361,25,29,28,,,,31370,,,
Planta 2,8531,F'c,45870,0.776388889,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,21,2343,25,27,28,,,,65629,,,
Planta 2,8548,F'c,45870,0.870138889,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,24,2341,20,26,28,,,,38925,,,
Planta 2,8552,F'c,45871,0.776388889,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2337,22,26,3,,,,48150,,,
Planta 2,8566,F'c,45872,0.025694444,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,20,2345,20,24,28,,,,32222,,,
Planta 2,8579,F'c,45873,0.647222222,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,24,2347,25,29,28,28,,,,,,
Planta 2,8596,F'c,45874,0.011111111,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2351,23,28,28,28,,,,,,
Planta 2,8610,F'c,45874,0.466666667,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2328,24,29,3,3,,,117653,110000,,
Planta 2,8616,F'c,45874,0.516666667,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,61,2342,24,28,28,28,,,,,,
Planta 2,8636,F'c,45874,0.677083333,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,21,2348,24,28,28,28,,,,,,
Planta 2,8659,F'c,45875,0.703472222,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,24,2342,31,29,3,3,,,,,,
Planta 2,8691,F'c,45876,0.672916667,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2342,32,30,1,,,,30627,,,
Planta 2,8695,F'c,45876,0.882638889,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2364,28,29,1,,,,38974,,,
Planta 2,8705,F'c,45877,0.642361111,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2328,35,29,28,28,,,,,,
Planta 2,8718,F'c,45878,0.357638889,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,21,2364,24,27,28,28,,,,,,
Planta 2,8727,F'c,45880,0.359027778,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2332,32,28,28,28,,,,,,
Planta 2,8739,F'c,45881,0.448611111,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2379,32,29,28,28,,,,,,
Planta 2,8769,F'c,45881,0.007638889,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,63,2379,27,25,3,3,,,,,,
Planta 2,8780,F'c,45882,0.624305556,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2353,30,30,28,28,,,,,,
Planta 2,8786,F'c,45882,0.795138889,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,60,2369,26,29,1,1,3,3,,,,
